profile_season,team,situation_order,situation_name,team_play_count,team_sample_quality,sample_vs_baseline_context,sample_reliability_score,sample_multiplier,tendency_signal_score,efficiency_signal_score,explosiveness_signal_score,stability_signal_score,coach_dna_score_raw,coach_dna_score_adjusted,tendency_profile_label,tempo_profile_label,formation_profile_label,efficiency_profile_label,dropback_rate_team,dropback_rate_baseline,dropback_rate_delta,rush_rate_team,rush_rate_baseline,rush_rate_delta,pass_attempt_rate_team,pass_attempt_rate_baseline,pass_attempt_rate_delta,shotgun_rate_team,shotgun_rate_baseline,shotgun_rate_delta,no_huddle_rate_team,no_huddle_rate_baseline,no_huddle_rate_delta,avg_epa_team,avg_epa_baseline,avg_epa_delta,success_rate_team,success_rate_baseline,success_rate_delta,explosive_play_rate_team,explosive_play_rate_baseline,explosive_play_rate_delta,turnover_rate_team,turnover_rate_baseline,turnover_rate_delta,sack_rate_team,sack_rate_baseline,sack_rate_delta,dropback_rate_signal_score,shotgun_rate_signal_score,no_huddle_rate_signal_score,pass_attempt_rate_signal_score,avg_epa_score,success_rate_score,first_down_rate_score,touchdown_rate_score,explosive_play_rate_score,explosive_dropback_rate_score,explosive_run_rate_score,turnover_rate_score,sack_rate_score
2025,ARI,1,all_offense,1070,strong,stable_team_sample,100.0,1.0,57.8125,35.9375,45.833333333333336,50.0,51.875,51.875,more_dropback_heavy_than_baseline,close_to_baseline_tempo,close_to_baseline_shotgun_usage,close_to_baseline_efficiency,0.6607,0.5737,0.08699999999999997,0.3393,0.4263,-0.08700000000000002,0.6607,0.5737,0.08699999999999997,0.7168,0.6967,0.020100000000000007,0.1215,0.1039,0.01759999999999999,-0.0169,-0.0054,-0.011499999999999998,0.4308,0.4345,-0.003699999999999981,0.129,0.1328,-0.003799999999999998,0.0196,0.0274,-0.007800000000000001,0.0551,0.0401,0.015000000000000006,96.875,9.375,28.125,96.875,31.25,34.375,43.75,34.375,46.875,84.375,6.25,81.25,18.75
2025,ARI,2,early_down,818,strong,stable_team_sample,100.0,1.0,60.9375,35.9375,34.375,46.875,51.25,51.25,more_dropback_heavy_than_baseline,faster_than_baseline,close_to_baseline_shotgun_usage,close_to_baseline_efficiency,0.632,0.5246,0.10740000000000005,0.368,0.4754,-0.1074,0.632,0.5246,0.10740000000000005,0.6687,0.6436,0.02510000000000001,0.1333,0.1086,0.0247,0.0018,0.0014,0.00039999999999999996,0.4267,0.4339,-0.007199999999999984,0.1161,0.1311,-0.015,0.0147,0.0244,-0.009700000000000002,0.0452,0.0296,0.015599999999999996,100.0,9.375,34.375,100.0,34.375,31.25,40.625,37.5,28.125,71.875,3.125,84.375,9.375
2025,ARI,3,third_down,224,strong,stable_team_sample,100.0,1.0,11.71875,56.25,81.25,25.0,39.0234375,39.0234375,close_to_baseline_run_pass_split,close_to_baseline_tempo,close_to_baseline_shotgun_usage,close_to_baseline_efficiency,0.7545,0.7494,0.005099999999999993,0.2455,0.2506,-0.005099999999999993,0.7545,0.7494,0.005099999999999993,0.8884,0.8953,-0.006900000000000017,0.0893,0.0875,0.00180000000000001,-0.0652,-0.0507,-0.014499999999999992,0.4464,0.4242,0.022199999999999998,0.1696,0.1404,0.029200000000000004,0.0402,0.0359,0.004299999999999998,0.0893,0.0778,0.01150000000000001,12.5,18.75,3.125,12.5,43.75,68.75,65.625,46.875,87.5,87.5,68.75,21.875,28.125
2025,ARI,4,fourth_down,28,thin,small_team_sample,55.0,0.75,60.9375,21.875,67.70833333333333,61.71875,51.96875,38.9765625,more_dropback_heavy_than_baseline,slower_than_baseline,more_shotgun_than_baseline,less_efficient_than_baseline,0.75,0.6225,0.12749999999999995,0.25,0.3775,-0.1275,0.75,0.6225,0.12749999999999995,0.75,0.675,0.07499999999999996,0.0357,0.0943,-0.05859999999999999,-0.1766,0.1649,-0.3415,0.4286,0.5443,-0.11570000000000003,0.1786,0.1209,0.057700000000000015,0.0,0.0492,-0.0492,0.0714,0.0504,0.021000000000000005,75.0,43.75,50.0,75.0,28.125,10.9375,12.5,35.9375,84.375,90.625,28.125,92.1875,31.25
2025,ARI,5,short_yardage,93,good,usable_team_sample,80.0,0.9,25.0,36.71875,11.979166666666666,51.5625,31.3828125,28.24453125,close_to_baseline_run_pass_split,close_to_baseline_tempo,close_to_baseline_shotgun_usage,less_efficient_than_baseline,0.3118,0.3476,-0.0358,0.6882,0.6524,0.035800000000000054,0.3118,0.3476,-0.0358,0.4839,0.5322,-0.04830000000000001,0.1828,0.1642,0.018599999999999978,-0.0485,0.0647,-0.1132,0.5591,0.5961,-0.03699999999999992,0.043,0.0906,-0.0476,0.0108,0.0214,-0.010599999999999998,0.0215,0.0229,-0.001400000000000002,31.25,18.75,18.75,31.25,28.125,31.25,53.125,34.375,6.25,10.9375,18.75,71.875,31.25
2025,ARI,6,red_zone,165,strong,stable_team_sample,100.0,1.0,78.125,38.28125,66.66666666666667,15.625,61.2890625,61.2890625,more_dropback_heavy_than_baseline,faster_than_baseline,more_shotgun_than_baseline,less_efficient_than_baseline,0.6909,0.5029,0.18799999999999994,0.3091,0.4971,-0.188,0.6909,0.5029,0.18799999999999994,0.8,0.6589,0.1411,0.1273,0.0945,0.032799999999999996,-0.0824,-0.0022,-0.08020000000000001,0.3879,0.4224,-0.034499999999999975,0.0727,0.0512,0.0215,0.0303,0.0258,0.0045000000000000005,0.0606,0.0328,0.0278,100.0,71.875,40.625,100.0,25.0,21.875,40.625,65.625,84.375,100.0,15.625,25.0,6.25
2025,ARI,7,goal_to_go,63,good,usable_team_sample,80.0,0.9,46.09375,30.46875,71.35416666666667,40.625,47.125,42.4125,more_dropback_heavy_than_baseline,close_to_baseline_tempo,close_to_baseline_shotgun_usage,less_efficient_than_baseline,0.5873,0.4757,0.11160000000000003,0.4127,0.5243,-0.11159999999999998,0.5873,0.4757,0.11160000000000003,0.619,0.611,0.008000000000000007,0.0794,0.0861,-0.006699999999999998,-0.0632,0.0097,-0.0729,0.4127,0.438,-0.02529999999999999,0.0159,0.0074,0.0085,0.0159,0.0243,-0.008399999999999998,0.0476,0.0306,0.017000000000000005,81.25,6.25,15.625,81.25,34.375,34.375,25.0,28.125,82.8125,90.625,40.625,53.125,28.125
2025,ARI,8,two_minute_half,128,strong,stable_team_sample,100.0,1.0,57.8125,57.421875,79.16666666666667,51.5625,62.40234375,62.40234375,more_dropback_heavy_than_baseline,close_to_baseline_tempo,more_shotgun_than_baseline,close_to_baseline_efficiency,0.8203,0.7349,0.08540000000000003,0.1797,0.2651,-0.0854,0.8203,0.7349,0.08540000000000003,0.9297,0.8778,0.051899999999999946,0.1719,0.1634,0.008500000000000008,0.0289,0.0083,0.0206,0.4297,0.4231,0.00660000000000005,0.1719,0.1271,0.044800000000000006,0.0234,0.0356,-0.012199999999999999,0.0703,0.0516,0.0187,81.25,50.0,18.75,81.25,56.25,51.5625,68.75,53.125,93.75,93.75,50.0,78.125,25.0
2025,ARI,9,two_minute_game,40,thin,small_team_sample,55.0,0.75,86.71875,41.40625,67.70833333333333,41.40625,66.421875,49.81640625,more_dropback_heavy_than_baseline,faster_than_baseline,more_shotgun_than_baseline,less_efficient_than_baseline,0.925,0.6818,0.24320000000000008,0.075,0.3182,-0.24319999999999997,0.925,0.6818,0.24320000000000008,1.0,0.8173,0.18269999999999997,0.225,0.1726,0.0524,-0.1742,-0.06,-0.1142,0.375,0.3942,-0.019199999999999995,0.2,0.1268,0.07320000000000002,0.025,0.0394,-0.014399999999999996,0.1,0.0504,0.049600000000000005,100.0,87.5,59.375,100.0,25.0,37.5,37.5,65.625,93.75,96.875,12.5,67.1875,15.625
2025,ARI,10,one_score,594,strong,stable_team_sample,100.0,1.0,60.9375,32.8125,35.416666666666664,45.3125,50.46875,50.46875,more_dropback_heavy_than_baseline,slower_than_baseline,close_to_baseline_shotgun_usage,close_to_baseline_efficiency,0.6347,0.565,0.0697000000000001,0.3653,0.435,-0.06969999999999998,0.6347,0.565,0.0697000000000001,0.6498,0.6859,-0.03609999999999991,0.0556,0.0863,-0.030700000000000005,-0.0229,0.0035,-0.0264,0.4259,0.4369,-0.01100000000000001,0.1229,0.1332,-0.010300000000000017,0.0202,0.0265,-0.0063,0.0556,0.0381,0.017499999999999995,90.625,25.0,37.5,90.625,28.125,34.375,43.75,25.0,34.375,68.75,3.125,78.125,12.5
2025,ARI,11,neutral_early_down,377,strong,stable_team_sample,100.0,1.0,64.84375,21.875,23.958333333333332,33.59375,46.6015625,46.6015625,more_dropback_heavy_than_baseline,slower_than_baseline,less_shotgun_than_baseline,less_efficient_than_baseline,0.5836,0.5215,0.062100000000000044,0.4164,0.4785,-0.06209999999999999,0.5836,0.5215,0.062100000000000044,0.5464,0.6282,-0.08179999999999998,0.0504,0.0855,-0.035100000000000006,-0.0381,0.013,-0.0511,0.4138,0.4391,-0.02529999999999999,0.1167,0.1443,-0.027600000000000013,0.0186,0.0226,-0.004,0.0504,0.0278,0.022600000000000002,87.5,46.875,37.5,87.5,28.125,18.75,37.5,3.125,18.75,40.625,12.5,64.0625,3.125
2025,ARI,12,tied,197,strong,stable_team_sample,100.0,1.0,57.8125,41.40625,31.25,29.6875,49.0234375,49.0234375,more_dropback_heavy_than_baseline,slower_than_baseline,close_to_baseline_shotgun_usage,close_to_baseline_efficiency,0.6294,0.5522,0.07719999999999994,0.3706,0.4478,-0.07719999999999999,0.6294,0.5522,0.07719999999999994,0.6497,0.6675,-0.017799999999999927,0.0305,0.0716,-0.0411,0.0056,-0.0028,0.0084,0.4416,0.4433,-0.0017000000000000348,0.1066,0.1307,-0.02410000000000001,0.0305,0.0252,0.005299999999999999,0.0406,0.0369,0.003699999999999995,81.25,15.625,53.125,81.25,50.0,50.0,46.875,18.75,21.875,56.25,15.625,34.375,25.0
2025,ARI,13,leading,255,strong,stable_team_sample,100.0,1.0,52.34375,30.46875,48.958333333333336,41.40625,47.65625,47.65625,close_to_baseline_run_pass_split,slower_than_baseline,close_to_baseline_shotgun_usage,less_efficient_than_baseline,0.5529,0.504,0.048899999999999944,0.4471,0.496,-0.0489,0.5529,0.504,0.048899999999999944,0.651,0.6358,0.015199999999999991,0.0353,0.0687,-0.0334,-0.0387,0.0162,-0.0549,0.3961,0.4269,-0.030799999999999994,0.1333,0.1357,-0.0023999999999999855,0.0157,0.0228,-0.007100000000000002,0.0549,0.0318,0.023099999999999996,78.125,12.5,40.625,78.125,31.25,21.875,31.25,37.5,46.875,50.0,50.0,67.1875,15.625
2025,ARI,14,trailing,618,strong,stable_team_sample,100.0,1.0,62.5,52.34375,44.791666666666664,57.8125,58.7109375,58.7109375,more_dropback_heavy_than_baseline,faster_than_baseline,close_to_baseline_shotgun_usage,close_to_baseline_efficiency,0.7152,0.6309,0.08429999999999993,0.2848,0.3691,-0.08429999999999999,0.7152,0.6309,0.08429999999999993,0.7654,0.7508,0.014599999999999946,0.1861,0.1414,0.04469999999999999,-0.0151,-0.0215,0.006399999999999998,0.4417,0.4364,0.005299999999999971,0.1343,0.1316,0.002700000000000008,0.0178,0.0315,-0.0137,0.0599,0.0472,0.012700000000000003,100.0,9.375,40.625,100.0,46.875,53.125,59.375,50.0,50.0,81.25,3.125,93.75,21.875
