profile_season,team,scored_situations,overall_coach_dna_score,tendency_signal_score_avg,efficiency_signal_score_avg,explosiveness_signal_score_avg,stability_signal_score_avg,sample_reliability_score_avg,top_signal_situation,top_signal_field_zone,top_signal_context,top_signal_score,lowest_signal_situation,lowest_signal_field_zone,lowest_signal_context,lowest_signal_score
2025,LA,45,56.294,62.4652,72.6318,65.3343,62.281,73.6662,neutral_early_down,fringe,neutral_early_down | fringe,80.625,two_minute_game,own_territory,two_minute_game | own_territory,17.2246
2025,BUF,45,53.1461,63.8664,63.7499,62.2197,47.138,72.1871,leading_early_down,own_territory,leading_early_down | own_territory,83.5156,tied_early_down,backed_up,tied_early_down | backed_up,16.5801
2025,WAS,45,51.9778,73.1083,52.7241,59.8365,47.8622,69.8413,neutral_early_down,own_territory,neutral_early_down | own_territory,83.3984,two_minute_game,red_zone,two_minute_game | red_zone,23.4113
2025,CIN,46,50.8784,64.2256,60.0367,47.1958,53.3315,73.8247,trailing_one_score,fringe,trailing_one_score | fringe,71.6406,two_minute_game,backed_up,two_minute_game | backed_up,17.9487
2025,BAL,45,49.1322,61.2633,54.7651,63.6064,35.2844,71.8062,neutral_early_down,fringe,neutral_early_down | fringe,77.4219,trailing_early_down,backed_up,trailing_early_down | backed_up,11.8242
2025,NE,45,49.0881,49.5704,68.2048,63.1267,44.2766,75.1637,leading_one_score,fringe,leading_one_score | fringe,66.8164,fourth_down,own_territory,fourth_down | own_territory,14.7419
2025,CHI,45,48.8438,50.1781,59.5375,61.3148,65.6443,74.745,trailing_one_score,own_territory,trailing_one_score | own_territory,68.3203,two_minute_half,backed_up,two_minute_half | backed_up,12.8468
2025,SF,45,48.3072,55.0335,60.0075,47.305,57.9523,74.223,neutral_early_down,own_territory,neutral_early_down | own_territory,75.7227,fourth_down,own_territory,fourth_down | own_territory,11.9093
2025,SEA,44,47.6358,58.7242,56.5951,53.5932,47.8587,70.4528,third_down,own_territory,third_down | own_territory,70.9242,two_minute_half,red_zone,two_minute_half | red_zone,14.1875
2025,DET,43,46.0869,49.1242,58.7184,56.784,55.7656,73.5606,leading_early_down,own_territory,leading_early_down | own_territory,68.3594,fourth_down,own_territory,fourth_down | own_territory,18.4718
2025,NYG,45,45.9345,58.1643,45.7635,53.7544,47.6149,74.4339,neutral_early_down,fringe,neutral_early_down | fringe,65.7812,two_minute_game,red_zone,two_minute_game | red_zone,14.873
2025,KC,45,45.2844,57.0684,50.3157,46.6206,49.7716,72.5941,neutral_early_down,own_territory,neutral_early_down | own_territory,65.5078,short_yardage,backed_up,short_yardage | backed_up,19.2581
2025,PHI,45,45.2138,52.7897,50.9003,52.8124,56.7988,71.8639,trailing_early_down,own_territory,trailing_early_down | own_territory,80.1172,short_yardage,backed_up,short_yardage | backed_up,18.7843
2025,GB,44,45.0021,42.6198,60.8803,65.198,53.8024,72.9412,leading_one_score,fringe,leading_one_score | fringe,65.1586,two_minute_game,own_territory,two_minute_game | own_territory,15.0117
2025,IND,45,44.4739,43.8259,62.7079,56.4055,50.3665,73.0946,leading_early_down,fringe,leading_early_down | fringe,63.4008,two_minute_game,fringe,two_minute_game | fringe,13.5625
2025,JAX,44,44.378,47.3177,56.0277,56.6571,59.3191,72.0821,neutral_early_down,fringe,neutral_early_down | fringe,65.5078,tied_early_down,backed_up,tied_early_down | backed_up,17.791
2025,ATL,45,44.3018,49.47,50.3672,54.114,63.3936,73.5813,trailing_early_down,own_territory,trailing_early_down | own_territory,74.8047,fourth_down,fringe,fourth_down | fringe,17.2051
