rank,team,situation_order,situation_name,team_play_count,team_sample_quality,coach_dna_score_adjusted,coach_dna_score_raw,tendency_signal_score,efficiency_signal_score,explosiveness_signal_score,stability_signal_score,sample_reliability_score,dropback_rate_delta,rush_rate_delta,shotgun_rate_delta,no_huddle_rate_delta,avg_epa_delta,success_rate_delta,explosive_play_rate_delta,tendency_profile_label,formation_profile_label,tempo_profile_label,efficiency_profile_label
1,WAS,12,tied,136,strong,86.953125,86.953125,95.3125,78.125,86.45833333333333,65.625,100.0,-0.1184,0.11840000000000006,0.14870000000000005,0.4505,0.0755,0.07140000000000002,0.03109999999999999,more_run_heavy_than_baseline,more_shotgun_than_baseline,faster_than_baseline,more_efficient_than_baseline
2,BUF,1,all_offense,1056,strong,84.296875,84.296875,82.03125,94.53125,91.66666666666667,50.0,100.0,-0.06799999999999995,0.068,-0.19479999999999997,-0.042300000000000004,0.14639999999999997,0.053200000000000025,0.02629999999999999,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
3,LA,11,neutral_early_down,448,strong,83.984375,83.984375,74.21875,97.65625,92.70833333333333,72.65625,100.0,0.07669999999999999,-0.07669999999999999,-0.30229999999999996,-0.007400000000000004,0.1795,0.09880000000000005,0.06549999999999997,more_dropback_heavy_than_baseline,less_shotgun_than_baseline,close_to_baseline_tempo,more_efficient_than_baseline
4,GB,3,third_down,206,strong,83.2421875,83.2421875,72.65625,92.1875,95.83333333333333,81.25,100.0,-0.06489999999999996,0.06490000000000001,-0.07489999999999997,0.03870000000000001,0.2914,0.08550000000000002,0.0683,more_run_heavy_than_baseline,less_shotgun_than_baseline,faster_than_baseline,more_efficient_than_baseline
5,LA,10,one_score,739,strong,82.734375,82.734375,71.875,100.0,85.41666666666667,75.78125,100.0,0.05750000000000011,-0.057499999999999996,-0.27179999999999993,-0.014600000000000002,0.1505,0.08949999999999997,0.031899999999999984,more_dropback_heavy_than_baseline,less_shotgun_than_baseline,close_to_baseline_tempo,more_efficient_than_baseline
6,WAS,19,tied_early_down,104,strong,82.36328125,82.36328125,95.3125,66.015625,86.45833333333333,50.0,100.0,-0.12330000000000002,0.12329999999999997,0.18259999999999998,0.4378000000000001,0.0257,0.04859999999999998,0.02529999999999999,more_run_heavy_than_baseline,more_shotgun_than_baseline,faster_than_baseline,close_to_baseline_efficiency
7,CIN,6,red_zone,146,strong,82.0703125,82.0703125,82.03125,90.625,73.4375,64.84375,100.0,0.0998,-0.0998,0.16989999999999994,-0.0603,0.0759,0.043399999999999994,0.0104,more_dropback_heavy_than_baseline,more_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
8,BUF,2,early_down,819,strong,82.03125,82.03125,80.46875,89.84375,84.89583333333333,56.25,100.0,-0.06789999999999996,0.06790000000000002,-0.21379999999999993,-0.0451,0.1182,0.05209999999999998,0.023999999999999994,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
9,BUF,18,trailing_two_plus_scores,234,strong,81.9140625,81.9140625,81.25,86.71875,77.08333333333333,71.09375,100.0,-0.0958,0.0958,-0.19079999999999997,-0.07549999999999998,0.2178,0.0676,0.0252,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
10,LA,5,short_yardage,129,strong,81.875,81.875,73.4375,89.0625,84.375,89.0625,100.0,0.07100000000000001,-0.07099999999999995,-0.2066,-0.06340000000000001,0.2021,0.0706,0.0334,more_dropback_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
11,CIN,13,leading,289,strong,80.859375,80.859375,82.8125,89.0625,69.27083333333333,59.375,100.0,0.056599999999999984,-0.056599999999999984,0.11159999999999992,-0.061799999999999994,0.07999999999999999,0.06790000000000002,0.009600000000000025,more_dropback_heavy_than_baseline,more_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
12,WAS,6,red_zone,151,strong,80.68359375,80.68359375,88.28125,80.078125,67.70833333333333,57.8125,100.0,-0.10550000000000004,0.10550000000000004,0.13579999999999992,0.48829999999999996,0.076,0.04780000000000001,0.014999999999999993,more_run_heavy_than_baseline,more_shotgun_than_baseline,faster_than_baseline,more_efficient_than_baseline
13,NE,8,two_minute_half,130,strong,79.9609375,79.9609375,80.46875,81.25,88.54166666666667,51.5625,100.0,-0.08109999999999995,0.0811,-0.1624,-0.0711,0.1772,0.10770000000000007,0.04980000000000001,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
14,BUF,12,tied,174,strong,79.921875,79.921875,78.125,95.3125,88.54166666666667,26.5625,100.0,-0.09820000000000001,0.09820000000000007,-0.17319999999999997,-0.037099999999999994,0.1124,0.06819999999999993,0.0532,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
15,LA,21,trailing_early_down,295,strong,79.6484375,79.6484375,63.28125,98.4375,92.70833333333333,76.5625,100.0,0.027000000000000024,-0.027000000000000024,-0.3271,-0.0619,0.2298,0.11789999999999995,0.06589999999999999,close_to_baseline_run_pass_split,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
16,BUF,3,third_down,205,strong,79.5703125,79.5703125,78.125,94.53125,82.29166666666667,34.375,100.0,-0.07619999999999993,0.07619999999999999,-0.11970000000000003,-0.02899999999999999,0.1919,0.05379999999999996,0.030299999999999994,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
17,NE,1,all_offense,1014,strong,79.39453125,79.39453125,74.21875,93.359375,89.58333333333333,42.1875,100.0,-0.031299999999999994,0.031299999999999994,-0.14639999999999997,-0.08020000000000001,0.16199999999999998,0.04870000000000002,0.02990000000000001,close_to_baseline_run_pass_split,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
