rank,team,overall_coach_dna_score,score_tier,scored_situations,tendency_signal_score_avg,efficiency_signal_score_avg,explosiveness_signal_score_avg,stability_signal_score_avg,sample_reliability_score_avg,top_signal_context,top_signal_situation,top_signal_field_zone,top_signal_score,lowest_signal_context,lowest_signal_situation,lowest_signal_field_zone,lowest_signal_score
1,LA,56.294,strong_signal,45,62.4652,72.6318,65.3343,62.281,73.6662,neutral_early_down | fringe,neutral_early_down,fringe,80.625,two_minute_game | own_territory,two_minute_game,own_territory,17.2246
2,BUF,53.1461,solid_signal,45,63.8664,63.7499,62.2197,47.138,72.1871,leading_early_down | own_territory,leading_early_down,own_territory,83.5156,tied_early_down | backed_up,tied_early_down,backed_up,16.5801
3,WAS,51.9778,solid_signal,45,73.1083,52.7241,59.8365,47.8622,69.8413,neutral_early_down | own_territory,neutral_early_down,own_territory,83.3984,two_minute_game | red_zone,two_minute_game,red_zone,23.4113
4,CIN,50.8784,solid_signal,46,64.2256,60.0367,47.1958,53.3315,73.8247,trailing_one_score | fringe,trailing_one_score,fringe,71.6406,two_minute_game | backed_up,two_minute_game,backed_up,17.9487
5,BAL,49.1322,solid_signal,45,61.2633,54.7651,63.6064,35.2844,71.8062,neutral_early_down | fringe,neutral_early_down,fringe,77.4219,trailing_early_down | backed_up,trailing_early_down,backed_up,11.8242
6,NE,49.0881,solid_signal,45,49.5704,68.2048,63.1267,44.2766,75.1637,leading_one_score | fringe,leading_one_score,fringe,66.8164,fourth_down | own_territory,fourth_down,own_territory,14.7419
7,CHI,48.8438,solid_signal,45,50.1781,59.5375,61.3148,65.6443,74.745,trailing_one_score | own_territory,trailing_one_score,own_territory,68.3203,two_minute_half | backed_up,two_minute_half,backed_up,12.8468
8,SF,48.3072,solid_signal,45,55.0335,60.0075,47.305,57.9523,74.223,neutral_early_down | own_territory,neutral_early_down,own_territory,75.7227,fourth_down | own_territory,fourth_down,own_territory,11.9093
9,SEA,47.6358,solid_signal,44,58.7242,56.5951,53.5932,47.8587,70.4528,third_down | own_territory,third_down,own_territory,70.9242,two_minute_half | red_zone,two_minute_half,red_zone,14.1875
10,DET,46.0869,moderate_signal,43,49.1242,58.7184,56.784,55.7656,73.5606,leading_early_down | own_territory,leading_early_down,own_territory,68.3594,fourth_down | own_territory,fourth_down,own_territory,18.4718
11,NYG,45.9345,moderate_signal,45,58.1643,45.7635,53.7544,47.6149,74.4339,neutral_early_down | fringe,neutral_early_down,fringe,65.7812,two_minute_game | red_zone,two_minute_game,red_zone,14.873
12,KC,45.2844,moderate_signal,45,57.0684,50.3157,46.6206,49.7716,72.5941,neutral_early_down | own_territory,neutral_early_down,own_territory,65.5078,short_yardage | backed_up,short_yardage,backed_up,19.2581
