profile_season,team,situation_order,situation_name,field_zone_order,field_zone,situation_field_zone_context,team_play_count,team_sample_quality,sample_vs_baseline_context,sample_reliability_score,sample_multiplier,tendency_signal_score,efficiency_signal_score,explosiveness_signal_score,stability_signal_score,coach_dna_score_raw,coach_dna_score_adjusted,tendency_profile_label,tempo_profile_label,formation_profile_label,efficiency_profile_label,dropback_rate_team,dropback_rate_baseline,dropback_rate_delta,rush_rate_team,rush_rate_baseline,rush_rate_delta,pass_attempt_rate_team,pass_attempt_rate_baseline,pass_attempt_rate_delta,shotgun_rate_team,shotgun_rate_baseline,shotgun_rate_delta,no_huddle_rate_team,no_huddle_rate_baseline,no_huddle_rate_delta,avg_epa_team,avg_epa_baseline,avg_epa_delta,success_rate_team,success_rate_baseline,success_rate_delta,explosive_play_rate_team,explosive_play_rate_baseline,explosive_play_rate_delta,turnover_rate_team,turnover_rate_baseline,turnover_rate_delta,sack_rate_team,sack_rate_baseline,sack_rate_delta,dropback_rate_signal_score,shotgun_rate_signal_score,no_huddle_rate_signal_score,pass_attempt_rate_signal_score,avg_epa_score,success_rate_score,first_down_rate_score,touchdown_rate_score,explosive_play_rate_score,explosive_dropback_rate_score,explosive_run_rate_score,turnover_rate_score,sack_rate_score
2025,ARI,1,all_offense,1,backed_up,all_offense | backed_up,83,good,good_team_sample_vs_strong_baseline,80.0,0.9,50.0,26.5625,27.083333333333332,81.25,45.328125,40.7953125,more_dropback_heavy_than_baseline,close_to_baseline_tempo,close_to_baseline_shotgun_usage,less_efficient_than_baseline,0.6386,0.5653,0.07329999999999992,0.3614,0.4347,-0.07329999999999998,0.6386,0.5653,0.07329999999999992,0.6867,0.6902,-0.0035000000000000586,0.0482,0.0541,-0.0059000000000000025,-0.0714,-0.0254,-0.046000000000000006,0.3614,0.3983,-0.03689999999999999,0.0964,0.1407,-0.04429999999999999,0.012,0.0258,-0.0138,0.012,0.032,-0.02,84.375,9.375,21.875,84.375,40.625,15.625,12.5,37.5,9.375,18.75,53.125,78.125,84.375
2025,ARI,1,all_offense,2,own_territory,all_offense | own_territory,470,strong,strong_team_sample_vs_strong_baseline,100.0,1.0,53.90625,41.796875,48.958333333333336,40.625,51.11328125,51.11328125,more_dropback_heavy_than_baseline,close_to_baseline_tempo,close_to_baseline_shotgun_usage,close_to_baseline_efficiency,0.6766,0.602,0.0746,0.3234,0.398,-0.0746,0.6766,0.602,0.0746,0.6787,0.7042,-0.025500000000000078,0.0872,0.0973,-0.010099999999999998,-0.0295,-0.0121,-0.0174,0.4298,0.4335,-0.003699999999999981,0.1532,0.151,0.0022000000000000075,0.0191,0.0286,-0.009500000000000001,0.0681,0.0451,0.022999999999999993,93.75,18.75,9.375,93.75,31.25,40.625,53.125,42.1875,56.25,71.875,18.75,78.125,3.125
2025,ARI,1,all_offense,3,fringe,all_offense | fringe,352,strong,strong_team_sample_vs_strong_baseline,100.0,1.0,54.296875,39.0625,39.583333333333336,61.71875,51.30859375,51.30859375,more_dropback_heavy_than_baseline,faster_than_baseline,close_to_baseline_shotgun_usage,more_efficient_than_baseline,0.6307,0.5689,0.06180000000000008,0.3693,0.4311,-0.061799999999999966,0.6307,0.5689,0.06180000000000008,0.7358,0.7056,0.030200000000000005,0.1818,0.1304,0.0514,0.0434,0.0079,0.035500000000000004,0.4688,0.451,0.017799999999999983,0.1307,0.144,-0.013299999999999979,0.017,0.0269,-0.009899999999999999,0.0455,0.0384,0.007100000000000002,78.125,20.3125,40.625,78.125,43.75,50.0,56.25,6.25,37.5,71.875,9.375,89.0625,34.375
2025,ARI,1,all_offense,4,red_zone,all_offense | red_zone,165,strong,strong_team_sample_vs_strong_baseline,100.0,1.0,78.125,38.28125,66.66666666666667,15.625,61.2890625,61.2890625,more_dropback_heavy_than_baseline,faster_than_baseline,more_shotgun_than_baseline,less_efficient_than_baseline,0.6909,0.5029,0.18799999999999994,0.3091,0.4971,-0.188,0.6909,0.5029,0.18799999999999994,0.8,0.6589,0.1411,0.1273,0.0945,0.032799999999999996,-0.0824,-0.0022,-0.08020000000000001,0.3879,0.4224,-0.034499999999999975,0.0727,0.0512,0.0215,0.0303,0.0258,0.0045000000000000005,0.0606,0.0328,0.0278,100.0,71.875,40.625,100.0,25.0,21.875,40.625,65.625,84.375,100.0,15.625,25.0,6.25
2025,ARI,2,early_down,1,backed_up,early_down | backed_up,61,good,good_team_sample_vs_strong_baseline,80.0,0.9,48.4375,28.515625,25.0,71.875,43.86328125,39.476953125,more_dropback_heavy_than_baseline,slower_than_baseline,close_to_baseline_shotgun_usage,close_to_baseline_efficiency,0.5738,0.5084,0.06540000000000001,0.4262,0.4916,-0.06539999999999996,0.5738,0.5084,0.06540000000000001,0.5902,0.6247,-0.034500000000000086,0.0164,0.0482,-0.031799999999999995,-0.0225,-0.0218,-0.0006999999999999992,0.3607,0.4052,-0.044499999999999984,0.082,0.1328,-0.0508,0.0164,0.0229,-0.006499999999999999,0.0,0.0206,-0.0206,65.625,12.5,50.0,65.625,50.0,18.75,3.125,42.1875,15.625,12.5,46.875,59.375,84.375
2025,ARI,2,early_down,2,own_territory,early_down | own_territory,364,strong,strong_team_sample_vs_strong_baseline,100.0,1.0,57.8125,41.796875,35.416666666666664,51.5625,51.93359375,51.93359375,more_dropback_heavy_than_baseline,close_to_baseline_tempo,close_to_baseline_shotgun_usage,close_to_baseline_efficiency,0.6621,0.5535,0.10860000000000003,0.3379,0.4465,-0.10860000000000003,0.6621,0.5535,0.10860000000000003,0.6291,0.6505,-0.021399999999999975,0.0907,0.0983,-0.007599999999999996,-0.0083,0.0008,-0.0091,0.4286,0.4374,-0.00880000000000003,0.1346,0.1476,-0.013000000000000012,0.011,0.0255,-0.014499999999999999,0.0549,0.0325,0.022399999999999996,100.0,15.625,15.625,100.0,46.875,40.625,50.0,29.6875,37.5,62.5,6.25,96.875,6.25
2025,ARI,2,early_down,3,fringe,early_down | fringe,275,strong,strong_team_sample_vs_strong_baseline,100.0,1.0,53.125,34.375,33.333333333333336,43.75,46.875,46.875,more_dropback_heavy_than_baseline,faster_than_baseline,close_to_baseline_shotgun_usage,less_efficient_than_baseline,0.5891,0.5239,0.06519999999999992,0.4109,0.4761,-0.06520000000000004,0.5891,0.5239,0.06519999999999992,0.6873,0.6547,0.03260000000000007,0.2073,0.1415,0.06580000000000003,-0.0191,0.0111,-0.030199999999999998,0.4545,0.4441,0.01040000000000002,0.12,0.1427,-0.022699999999999998,0.0182,0.0244,-0.006200000000000001,0.0473,0.031,0.016300000000000002,71.875,18.75,50.0,71.875,31.25,46.875,56.25,3.125,25.0,65.625,9.375,65.625,21.875
2025,ARI,2,early_down,4,red_zone,early_down | red_zone,118,strong,strong_team_sample_vs_strong_baseline,100.0,1.0,78.90625,60.9375,61.458333333333336,37.5,68.7109375,68.7109375,more_dropback_heavy_than_baseline,faster_than_baseline,more_shotgun_than_baseline,more_efficient_than_baseline,0.6695,0.4417,0.2278,0.3305,0.5583,-0.2278,0.6695,0.4417,0.2278,0.7881,0.6087,0.1794,0.1525,0.106,0.0465,0.094,-0.004,0.098,0.3898,0.4167,-0.026900000000000035,0.0678,0.053,0.0148,0.0169,0.022,-0.0051,0.0339,0.0223,0.0116,100.0,71.875,43.75,100.0,81.25,28.125,56.25,78.125,71.875,100.0,12.5,56.25,18.75
2025,ARI,3,third_down,1,backed_up,third_down | backed_up,21,thin,thin_team_sample_vs_good_baseline,55.0,0.75,14.453125,54.296875,57.291666666666664,70.3125,38.453125,28.83984375,close_to_baseline_run_pass_split,faster_than_baseline,close_to_baseline_shotgun_usage,close_to_baseline_efficiency,0.8095,0.7874,0.02210000000000001,0.1905,0.2126,-0.02210000000000001,0.8095,0.7874,0.02210000000000001,0.9524,0.9501,0.0023000000000000798,0.1429,0.0752,0.0677,-0.0424,-0.0257,-0.0167,0.381,0.3688,0.012199999999999989,0.1429,0.1724,-0.0295,0.0,0.0363,-0.0363,0.0476,0.0771,-0.0295,9.375,9.375,29.6875,9.375,50.0,62.5,59.375,45.3125,53.125,50.0,68.75,71.875,68.75
2025,ARI,3,third_down,2,own_territory,third_down | own_territory,96,good,good_team_sample_vs_strong_baseline,80.0,0.9,44.53125,43.75,80.20833333333333,17.1875,48.7265625,43.85390625,close_to_baseline_run_pass_split,close_to_baseline_tempo,close_to_baseline_shotgun_usage,less_efficient_than_baseline,0.7604,0.7933,-0.03290000000000004,0.2396,0.2067,0.03290000000000001,0.7604,0.7933,-0.03290000000000004,0.8958,0.9201,-0.02429999999999999,0.0729,0.0912,-0.018299999999999997,-0.21,-0.0711,-0.1389,0.4063,0.4111,-0.0048000000000000265,0.2188,0.1663,0.05249999999999999,0.0521,0.0383,0.0138,0.125,0.0936,0.0314,56.25,50.0,15.625,56.25,28.125,46.875,40.625,59.375,87.5,81.25,71.875,18.75,15.625
