rank,situation_order,situation_name,field_zone_order,field_zone,situation_field_zone_context,avg_adjusted_score,max_adjusted_score,min_adjusted_score,avg_team_play_count,team_count,strong_sample_teams,good_or_better_teams
1,1,all_offense,2,own_territory,all_offense | own_territory,53.9844,83.0078,25.7812,455.1,32,32,32
2,1,all_offense,3,fringe,all_offense | fringe,53.9844,82.6172,30.0781,331.4,32,32,32
3,1,all_offense,4,red_zone,all_offense | red_zone,53.9844,82.0703,17.5,160.7,32,32,32
4,2,early_down,2,own_territory,early_down | own_territory,53.9844,84.9609,24.9805,357.4,32,32,32
5,2,early_down,3,fringe,early_down | fringe,53.9844,79.5703,23.7891,248.8,32,32,32
6,11,one_score,2,own_territory,one_score | own_territory,53.9844,81.7969,32.1094,305.0,32,32,32
7,11,one_score,3,fringe,one_score | fringe,53.9844,83.125,30.1172,217.5,32,32,32
8,12,neutral_early_down,2,own_territory,neutral_early_down | own_territory,53.9844,83.3984,31.8945,230.7,32,32,32
9,15,trailing,2,own_territory,trailing | own_territory,53.9844,78.5547,29.6875,225.4,32,32,32
10,12,neutral_early_down,3,fringe,neutral_early_down | fringe,53.794,80.625,29.1211,155.1,32,31,32
11,15,trailing,3,fringe,trailing | fringe,53.5144,82.0703,28.9844,160.2,32,30,32
12,22,trailing_early_down,2,own_territory,trailing_early_down | own_territory,53.4736,80.1172,28.0664,176.3,32,30,32
13,2,early_down,4,red_zone,early_down | red_zone,52.9806,78.4766,17.8559,116.4,32,26,32
14,18,trailing_one_score,2,own_territory,trailing_one_score | own_territory,52.8296,74.1406,28.5156,127.8,32,27,32
15,14,leading,2,own_territory,leading | own_territory,52.1421,87.8906,26.6406,143.3,32,26,30
16,11,one_score,4,red_zone,one_score | red_zone,52.0789,80.0,30.0,105.2,32,22,32
17,22,trailing_early_down,3,fringe,trailing_early_down | fringe,51.509,76.4789,33.2422,119.4,32,21,32
18,14,leading,3,fringe,leading | fringe,50.9241,74.4531,16.8721,109.7,32,21,30
19,21,leading_early_down,2,own_territory,leading_early_down | own_territory,50.6063,83.5156,24.3422,113.0,32,19,29
20,18,trailing_one_score,3,fringe,trailing_one_score | fringe,49.8325,71.6406,26.768,92.2,32,11,32
21,3,third_down,2,own_territory,third_down | own_territory,49.0886,70.9242,26.6797,90.6,32,8,32
22,16,leading_one_score,2,own_territory,leading_one_score | own_territory,49.0275,76.0922,27.8051,90.8,32,11,30
23,13,tied,2,own_territory,tied | own_territory,48.9468,69.7641,20.4047,86.4,32,7,32
