rank,team,overall_coach_dna_score,score_tier,scored_situations,tendency_signal_score_avg,efficiency_signal_score_avg,explosiveness_signal_score_avg,stability_signal_score_avg,sample_reliability_score_avg,top_signal_context,top_signal_situation,top_signal_field_zone,top_signal_score,lowest_signal_context,lowest_signal_situation,lowest_signal_field_zone,lowest_signal_score
1,LA,56.29,strong_signal,45,62.47,72.63,65.33,62.28,73.67,neutral_early_down | fringe,neutral_early_down,fringe,80.62,two_minute_game | own_territory,two_minute_game,own_territory,17.22
2,BUF,53.15,solid_signal,45,63.87,63.75,62.22,47.14,72.19,leading_early_down | own_territory,leading_early_down,own_territory,83.52,tied_early_down | backed_up,tied_early_down,backed_up,16.58
3,WAS,51.98,solid_signal,45,73.11,52.72,59.84,47.86,69.84,neutral_early_down | own_territory,neutral_early_down,own_territory,83.4,two_minute_game | red_zone,two_minute_game,red_zone,23.41
4,CIN,50.88,solid_signal,46,64.23,60.04,47.2,53.33,73.82,trailing_one_score | fringe,trailing_one_score,fringe,71.64,two_minute_game | backed_up,two_minute_game,backed_up,17.95
5,BAL,49.13,solid_signal,45,61.26,54.77,63.61,35.28,71.81,neutral_early_down | fringe,neutral_early_down,fringe,77.42,trailing_early_down | backed_up,trailing_early_down,backed_up,11.82
6,NE,49.09,solid_signal,45,49.57,68.2,63.13,44.28,75.16,leading_one_score | fringe,leading_one_score,fringe,66.82,fourth_down | own_territory,fourth_down,own_territory,14.74
7,CHI,48.84,solid_signal,45,50.18,59.54,61.31,65.64,74.74,trailing_one_score | own_territory,trailing_one_score,own_territory,68.32,two_minute_half | backed_up,two_minute_half,backed_up,12.85
8,SF,48.31,solid_signal,45,55.03,60.01,47.3,57.95,74.22,neutral_early_down | own_territory,neutral_early_down,own_territory,75.72,fourth_down | own_territory,fourth_down,own_territory,11.91
9,SEA,47.64,solid_signal,44,58.72,56.6,53.59,47.86,70.45,third_down | own_territory,third_down,own_territory,70.92,two_minute_half | red_zone,two_minute_half,red_zone,14.19
10,DET,46.09,moderate_signal,43,49.12,58.72,56.78,55.77,73.56,leading_early_down | own_territory,leading_early_down,own_territory,68.36,fourth_down | own_territory,fourth_down,own_territory,18.47
11,NYG,45.93,moderate_signal,45,58.16,45.76,53.75,47.61,74.43,neutral_early_down | fringe,neutral_early_down,fringe,65.78,two_minute_game | red_zone,two_minute_game,red_zone,14.87
12,KC,45.28,moderate_signal,45,57.07,50.32,46.62,49.77,72.59,neutral_early_down | own_territory,neutral_early_down,own_territory,65.51,short_yardage | backed_up,short_yardage,backed_up,19.26
13,PHI,45.21,moderate_signal,45,52.79,50.9,52.81,56.8,71.86,trailing_early_down | own_territory,trailing_early_down,own_territory,80.12,short_yardage | backed_up,short_yardage,backed_up,18.78
14,GB,45.0,moderate_signal,44,42.62,60.88,65.2,53.8,72.94,leading_one_score | fringe,leading_one_score,fringe,65.16,two_minute_game | own_territory,two_minute_game,own_territory,15.01
15,IND,44.47,moderate_signal,45,43.83,62.71,56.41,50.37,73.09,leading_early_down | fringe,leading_early_down,fringe,63.4,two_minute_game | fringe,two_minute_game,fringe,13.56
16,JAX,44.38,moderate_signal,44,47.32,56.03,56.66,59.32,72.08,neutral_early_down | fringe,neutral_early_down,fringe,65.51,tied_early_down | backed_up,tied_early_down,backed_up,17.79
17,ATL,44.3,moderate_signal,45,49.47,50.37,54.11,63.39,73.58,trailing_early_down | own_territory,trailing_early_down,own_territory,74.8,fourth_down | fringe,fourth_down,fringe,17.21
18,DAL,44.14,moderate_signal,46,43.25,62.06,56.02,57.24,72.38,two_minute_half | fringe,two_minute_half,fringe,61.1,two_minute_game | red_zone,two_minute_game,red_zone,14.68
19,MIA,42.62,moderate_signal,46,48.14,53.39,54.14,51.03,68.49,neutral_early_down | fringe,neutral_early_down,fringe,70.7,two_minute_game | fringe,two_minute_game,fringe,13.03
20,ARI,41.26,moderate_signal,46,51.85,45.33,48.58,45.59,70.61,trailing_early_down | red_zone,trailing_early_down,red_zone,65.97,short_yardage | backed_up,short_yardage,backed_up,14.53
21,TB,40.92,moderate_signal,45,43.23,49.05,46.07,56.77,74.77,trailing_one_score | fringe,trailing_one_score,fringe,59.41,fourth_down | fringe,fourth_down,fringe,11.55
22,DEN,40.02,moderate_signal,45,39.51,50.16,50.15,69.72,72.94,trailing_early_down | red_zone,trailing_early_down,red_zone,64.95,short_yardage | backed_up,short_yardage,backed_up,16.85
23,CAR,39.82,developing_signal,45,50.95,41.7,42.61,51.58,72.0,neutral_early_down | own_territory,neutral_early_down,own_territory,60.86,leading_early_down | red_zone,leading_early_down,red_zone,14.9
24,MIN,39.62,developing_signal,45,50.76,43.67,53.73,31.9,69.92,neutral_early_down | fringe,neutral_early_down,fringe,58.4,fourth_down | own_territory,fourth_down,own_territory,13.72
25,HOU,39.53,developing_signal,45,45.4,40.55,43.27,61.94,73.5,trailing_early_down | own_territory,trailing_early_down,own_territory,66.48,goal_line | red_zone,goal_line,red_zone,16.01
26,NO,39.47,developing_signal,45,52.88,39.32,41.58,44.92,71.13,red_zone | red_zone,red_zone,red_zone,60.13,goal_line | red_zone,goal_line,red_zone,14.79
27,LAC,38.7,developing_signal,45,42.91,47.65,45.25,40.13,74.39,trailing_early_down | fringe,trailing_early_down,fringe,63.12,goal_line | red_zone,goal_line,red_zone,16.57
28,PIT,37.95,developing_signal,44,37.11,52.75,43.61,57.74,73.08,leading_early_down | own_territory,leading_early_down,own_territory,58.4,tied_early_down | backed_up,tied_early_down,backed_up,17.29
29,NYJ,36.34,developing_signal,46,53.65,33.89,35.96,40.72,68.32,tied_early_down | own_territory,tied_early_down,own_territory,60.92,two_minute_game | own_territory,two_minute_game,own_territory,15.53
30,TEN,35.68,developing_signal,46,47.45,34.87,37.6,49.21,70.27,leading_one_score | own_territory,leading_one_score,own_territory,55.05,two_minute_half | backed_up,two_minute_half,backed_up,14.72
31,LV,32.99,developing_signal,46,46.06,33.2,38.6,37.86,68.64,trailing_early_down | red_zone,trailing_early_down,red_zone,55.74,tied_early_down | red_zone,tied_early_down,red_zone,15.19
32,CLE,32.43,developing_signal,45,40.76,28.16,37.64,47.62,72.27,tied_early_down | fringe,tied_early_down,fringe,51.19,trailing_one_score | backed_up,trailing_one_score,backed_up,11.6
