team,team_rank_within_top_signals,situation_name,team_play_count,coach_dna_score_adjusted,tendency_signal_score,efficiency_signal_score,explosiveness_signal_score,stability_signal_score,dropback_rate_delta,rush_rate_delta,shotgun_rate_delta,no_huddle_rate_delta,avg_epa_delta,success_rate_delta,explosive_play_rate_delta,tendency_profile_label,formation_profile_label,tempo_profile_label,efficiency_profile_label
ARI,1,two_minute_half,128,62.40234375,57.8125,57.421875,79.16666666666667,51.5625,0.08540000000000003,-0.0854,0.051899999999999946,0.008500000000000008,0.0206,0.00660000000000005,0.044800000000000006,more_dropback_heavy_than_baseline,more_shotgun_than_baseline,close_to_baseline_tempo,close_to_baseline_efficiency
ARI,2,red_zone,165,61.2890625,78.125,38.28125,66.66666666666667,15.625,0.18799999999999994,-0.188,0.1411,0.032799999999999996,-0.08020000000000001,-0.034499999999999975,0.0215,more_dropback_heavy_than_baseline,more_shotgun_than_baseline,faster_than_baseline,less_efficient_than_baseline
ARI,3,trailing_two_plus_scores,355,59.3359375,54.6875,60.15625,53.125,67.1875,0.05819999999999992,-0.05820000000000003,0.033399999999999985,0.0683,0.0755,0.021100000000000008,0.00940000000000002,more_dropback_heavy_than_baseline,close_to_baseline_shotgun_usage,faster_than_baseline,more_efficient_than_baseline
ATL,1,two_minute_half,131,71.9140625,66.40625,65.625,76.04166666666667,92.1875,-0.08599999999999997,0.08600000000000002,0.01529999999999998,-0.07179999999999999,0.046599999999999996,0.01200000000000001,0.02560000000000001,more_run_heavy_than_baseline,close_to_baseline_shotgun_usage,slower_than_baseline,more_efficient_than_baseline
ATL,2,trailing_one_score,255,69.1796875,64.0625,78.90625,55.208333333333336,73.4375,0.04239999999999999,-0.04239999999999999,0.17389999999999994,-0.010700000000000001,0.1234,0.05479999999999996,0.011300000000000004,close_to_baseline_run_pass_split,more_shotgun_than_baseline,close_to_baseline_tempo,more_efficient_than_baseline
ATL,3,goal_to_go,60,66.24843750000001,65.625,81.25,73.95833333333333,86.71875,-0.07569999999999999,0.07569999999999999,0.239,0.047200000000000006,0.3654,0.028700000000000003,0.0093,more_run_heavy_than_baseline,more_shotgun_than_baseline,faster_than_baseline,more_efficient_than_baseline
BAL,1,tied,183,71.62109375,78.90625,67.578125,52.083333333333336,64.0625,-0.09860000000000002,0.09860000000000002,-0.0937,-0.06609999999999999,0.0633,0.04849999999999999,-0.0050000000000000044,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
BAL,2,early_down,728,71.6015625,79.6875,66.40625,80.20833333333333,21.09375,-0.10149999999999998,0.10149999999999998,-0.05159999999999998,-0.0811,0.037200000000000004,0.012500000000000011,0.026900000000000007,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
BAL,3,all_offense,954,71.38671875,79.6875,68.359375,76.04166666666667,20.3125,-0.08729999999999999,0.08729999999999993,-0.04679999999999995,-0.07450000000000001,0.0393,0.01100000000000001,0.020199999999999996,more_run_heavy_than_baseline,close_to_baseline_shotgun_usage,slower_than_baseline,more_efficient_than_baseline
BUF,1,all_offense,1056,84.296875,82.03125,94.53125,91.66666666666667,50.0,-0.06799999999999995,0.068,-0.19479999999999997,-0.042300000000000004,0.14639999999999997,0.053200000000000025,0.02629999999999999,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
BUF,2,early_down,819,82.03125,80.46875,89.84375,84.89583333333333,56.25,-0.06789999999999996,0.06790000000000002,-0.21379999999999993,-0.0451,0.1182,0.05209999999999998,0.023999999999999994,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
BUF,3,trailing_two_plus_scores,234,81.9140625,81.25,86.71875,77.08333333333333,71.09375,-0.0958,0.0958,-0.19079999999999997,-0.07549999999999998,0.2178,0.0676,0.0252,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
CAR,1,leading_one_score,121,59.921875,83.59375,17.96875,26.041666666666668,89.0625,-0.1291,0.1291,-0.12519999999999998,-0.050199999999999995,-0.1284,-0.03939999999999999,-0.02729999999999999,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,less_efficient_than_baseline
CAR,2,leading_early_down,124,58.046875,86.71875,16.40625,6.25,89.84375,-0.13229999999999997,0.13229999999999997,-0.15610000000000002,-0.0548,-0.1209,-0.03639999999999999,-0.060600000000000015,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,less_efficient_than_baseline
CAR,3,leading,169,55.0,84.375,14.0625,11.458333333333334,67.96875,-0.10160000000000002,0.10160000000000002,-0.11509999999999998,-0.0509,-0.143,-0.04820000000000002,-0.04689999999999998,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,less_efficient_than_baseline
CHI,1,trailing,517,78.75,70.3125,85.9375,80.20833333333333,85.9375,-0.03710000000000002,0.03710000000000002,-0.16470000000000007,-0.0679,0.1898,0.05879999999999996,0.02310000000000001,close_to_baseline_run_pass_split,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
CHI,2,third_down,228,78.3203125,85.9375,80.46875,40.625,84.375,-0.07399999999999995,0.07400000000000001,-0.08389999999999997,-0.06559999999999999,0.1333,0.0363,-0.01319999999999999,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
CHI,3,all_offense,1090,73.75,66.40625,71.09375,81.25,89.0625,-0.026900000000000035,0.02689999999999998,-0.17559999999999998,-0.054400000000000004,0.085,0.023299999999999987,0.018600000000000005,close_to_baseline_run_pass_split,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
CIN,1,red_zone,146,82.0703125,82.03125,90.625,73.4375,64.84375,0.0998,-0.0998,0.16989999999999994,-0.0603,0.0759,0.043399999999999994,0.0104,more_dropback_heavy_than_baseline,more_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
CIN,2,leading,289,80.859375,82.8125,89.0625,69.27083333333333,59.375,0.056599999999999984,-0.056599999999999984,0.11159999999999992,-0.061799999999999994,0.07999999999999999,0.06790000000000002,0.009600000000000025,more_dropback_heavy_than_baseline,more_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
CIN,3,leading_one_score,207,76.0546875,78.90625,87.5,60.416666666666664,46.09375,0.06489999999999996,-0.06489999999999996,0.10089999999999999,-0.0702,0.06,0.09879999999999994,0.010200000000000015,more_dropback_heavy_than_baseline,more_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
CLE,1,short_yardage,86,49.12734375,69.140625,50.390625,23.4375,33.59375,-0.1383,0.13829999999999998,-0.12520000000000003,0.021799999999999986,0.02220000000000001,0.03180000000000005,-0.0441,more_run_heavy_than_baseline,less_shotgun_than_baseline,faster_than_baseline,close_to_baseline_efficiency
CLE,2,two_minute_half,124,42.5,56.25,9.375,27.083333333333332,57.8125,0.0796,-0.0796,0.025399999999999978,-0.05049999999999999,-0.09230000000000001,-0.10049999999999998,-0.022299999999999986,more_dropback_heavy_than_baseline,close_to_baseline_shotgun_usage,slower_than_baseline,less_efficient_than_baseline
CLE,3,trailing_one_score,305,39.84375,46.875,12.5,30.208333333333332,60.9375,-0.02629999999999999,0.02629999999999999,-0.05400000000000005,-0.0359,-0.1082,-0.059,-0.012499999999999997,close_to_baseline_run_pass_split,less_shotgun_than_baseline,slower_than_baseline,less_efficient_than_baseline
DAL,1,short_yardage,115,71.09375,59.375,90.625,64.58333333333333,70.3125,0.07849999999999996,-0.07850000000000001,-0.06259999999999999,-0.05990000000000001,0.2796,0.03870000000000007,0.022400000000000003,more_dropback_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
DAL,2,two_minute_half,118,70.15625,46.875,100.0,98.95833333333333,42.1875,-0.040000000000000036,0.03999999999999998,-0.07269999999999999,0.04000000000000001,0.3652,0.11930000000000002,0.08480000000000001,close_to_baseline_run_pass_split,less_shotgun_than_baseline,faster_than_baseline,more_efficient_than_baseline
DAL,3,tied_early_down,162,67.890625,62.5,79.6875,64.58333333333333,51.5625,-0.0539,0.05389999999999995,-0.1306,-0.040900000000000006,0.059199999999999996,0.05199999999999999,0.0010999999999999899,more_run_heavy_than_baseline,less_shotgun_than_baseline,slower_than_baseline,more_efficient_than_baseline
